Country_ISO3,Country_Index,TIAM_region
ABW,0,CSA
ANT,1,CSA
ARE,2,MEA
ARG,3,CSA
ARM,4,FSU
ATG,5,CSA
AUS,6,AUS
AUT,7,WEU
AZE,8,FSU
BEL,9,WEU
BGD,10,ODA
BGR,11,EEU
BHR,12,MEA
BHS,13,CSA
BLZ,14,CSA
BOL,15,CSA
BRA,16,CSA
BRB,17,CSA
BRN,18,ODA
CAN,19,CAN
CHE,20,WEU
CHL,21,CSA
CHN,22,CHI
CIV,23,AFR
CMR,24,AFR
COD,25,AFR
COG,26,AFR
COL,27,CSA
CRI,28,CSA
CUB,29,CSA
CYM,30,CSA
CYP,31,MEA
CZE,32,EEU
DEU,33,WEU
DNK,34,WEU
DOM,35,CSA
DZA,36,AFR
ECU,37,CSA
EGY,38,AFR
ESP,39,WEU
EST,40,FSU
ETH,41,AFR
FIN,42,WEU
FJI,43,ODA
FRA,44,WEU
GAB,45,AFR
GBR,46,UK
GHA,47,AFR
GLP,48,CSA
GRC,49,WEU
GRD,50,CSA
GTM,51,CSA
GUM,52,ODA
HKG,53,CHI
HND,54,CSA
HRV,55,EEU
HTI,56,CSA
HUN,57,EEU
IDN,58,ODA
IND,59,IND
IRL,60,WEU
IRN,61,MEA
ISL,62,WEU
ISR,63,MEA
ITA,64,WEU
JAM,65,CSA
JOR,66,MEA
JPN,67,JPN
KAZ,68,FSU
KEN,69,AFR
KHM,70,ODA
KNA,71,CSA
KOR,72,SKO
KWT,73,MEA
LBN,74,MEA
LCA,75,CSA
LKA,76,ODA
LTU,77,FSU
LUX,78,WEU
LVA,79,FSU
MAC,80,CHI
MAR,81,AFR
MDG,82,AFR
MDV,83,ODA
MEX,84,MEX
MLT,85,WEU
MMR,86,ODA
MUS,87,AFR
MYS,88,ODA
NAM,89,AFR
NCL,90,ODA
NGA,91,AFR
NIC,92,CSA
NLD,93,WEU
NOR,94,WEU
NPL,95,ODA
NZL,96,AUS
OMN,97,MEA
PAK,98,ODA
PAN,99,CSA
PER,100,CSA
PHL,101,ODA
PNG,102,ODA
POL,103,EEU
PRI,104,CSA
PRT,105,WEU
PRY,106,CSA
PYF,107,ODA
QAT,108,MEA
ROU,109,EEU
RUS,110,FSU
SAU,111,MEA
SDN,112,AFR
SEN,113,AFR
SGP,114,ODA
SLV,115,CSA
SRB,116,EEU
SVK,117,EEU
SVN,118,EEU
SWE,119,WEU
SYC,120,AFR
TCA,121,CSA
TGO,122,AFR
THA,123,ODA
TTO,124,CSA
TUN,125,AFR
TUR,126,MEA
TWN,127,ODA
TZA,128,AFR
UGA,129,AFR
UKR,130,FSU
URY,131,CSA
USA,132,USA
UZB,133,FSU
VEN,134,CSA
VGB,135,CSA
VIR,136,USA
VNM,137,ODA
ZAF,138,AFR
ZWE,139,AFR
